Status_of_existing_checking_account,Duration,Credit_history,Purpose,Credit_amount,Savings_account_bonds,Present_employment_since,Installment_rate,Personal_status_sex,Other_debtors_guarantors,Present_residence_since,Property,Age,Other_installment_plans,Housing,Number_of_existing_credits,Job,Number_of_people_liable,Telephone,Foreign_worker,Credit_risk
< 0 DM,6,Existing credits paid back,Furniture/equipment,428,< 100 DM,>= 7 years,2,Female div/sep/married,None,1,Savings/Life insurance,49,Bank,Own,1,Skilled employee,1,"Yes, registered",Yes,Good
< 0 DM,18,Existing credits paid back,Car (new),976,< 100 DM,< 1 year,1,Female div/sep/married,None,2,Car/other,23,None,Own,1,Unskilled-resident,1,None,Yes,Bad
0 <= ... < 200 DM,12,Existing credits paid back,Business,841,100 <= ... < 500 DM,4 <= ... < 7 years,2,Female div/sep/married,None,4,Real estate,23,None,Rent,1,Unskilled-resident,1,None,Yes,Good
No checking account,30,Critical account,Radio/TV,5771,< 100 DM,4 <= ... < 7 years,4,Female div/sep/married,None,2,Car/other,25,None,Own,2,Skilled employee,1,None,Yes,Good
No checking account,12,Delayed payments,Repairs,1555,>= 1000 DM,>= 7 years,4,Male single,None,4,Unknown/No property,55,None,For free,2,Skilled employee,2,None,Yes,Bad
< 0 DM,24,Existing credits paid back,Car (new),1285,Unknown/No savings,4 <= ... < 7 years,4,Female div/sep/married,None,4,Unknown/No property,32,None,Rent,1,Skilled employee,1,None,Yes,Bad
>= 200 DM/salary assigned,6,Critical account,Car (new),1299,< 100 DM,1 <= ... < 4 years,1,Male single,None,1,Real estate,74,None,Own,3,Unemployed/non-resident,2,None,No,Good
>= 200 DM/salary assigned,15,Critical account,Radio/TV,1271,Unknown/No savings,1 <= ... < 4 years,3,Male single,None,4,Unknown/No property,39,None,For free,2,Skilled employee,1,"Yes, registered",Yes,Bad
No checking account,24,Existing credits paid back,Car (new),1393,< 100 DM,1 <= ... < 4 years,2,Male single,Guarantor,2,Real estate,31,None,Own,1,Skilled employee,1,"Yes, registered",Yes,Good
< 0 DM,12,Critical account,Car (new),691,< 100 DM,>= 7 years,4,Male single,None,3,Savings/Life insurance,35,None,Own,2,Skilled employee,1,None,Yes,Bad
No checking account,15,Critical account,Car (new),5045,Unknown/No savings,>= 7 years,1,Female div/sep/married,None,4,Car/other,59,None,Own,1,Skilled employee,1,"Yes, registered",Yes,Good
< 0 DM,18,Critical account,Furniture/equipment,2124,< 100 DM,1 <= ... < 4 years,4,Female div/sep/married,None,4,Real estate,24,None,Rent,2,Skilled employee,1,None,Yes,Bad
< 0 DM,12,Existing credits paid back,Radio/TV,2214,< 100 DM,1 <= ... < 4 years,4,Male single,None,3,Savings/Life insurance,24,None,Own,1,Unskilled-resident,1,None,Yes,Good
No checking account,21,Critical account,Car (new),12680,Unknown/No savings,>= 7 years,4,Male single,None,4,Unknown/No property,30,None,For free,1,Management/self-employed,1,"Yes, registered",Yes,Bad
No checking account,24,Critical account,Car (new),2463,100 <= ... < 500 DM,4 <= ... < 7 years,4,Male married/widowed,None,3,Savings/Life insurance,27,None,Own,2,Skilled employee,1,"Yes, registered",Yes,Good
0 <= ... < 200 DM,12,Existing credits paid back,Radio/TV,1155,< 100 DM,>= 7 years,3,Male married/widowed,Guarantor,3,Real estate,40,Bank,Own,2,Unskilled-resident,1,None,Yes,Good
< 0 DM,30,Existing credits paid back,Furniture/equipment,3108,< 100 DM,< 1 year,2,Male divorced/separated,None,4,Savings/Life insurance,31,None,Own,1,Unskilled-resident,1,None,Yes,Bad
No checking account,10,Existing credits paid back,Car (used),2901,Unknown/No savings,< 1 year,1,Female div/sep/married,None,4,Real estate,31,None,Rent,1,Skilled employee,1,None,Yes,Good
0 <= ... < 200 DM,12,Critical account,Furniture/equipment,3617,< 100 DM,>= 7 years,1,Male single,None,4,Car/other,28,None,Rent,3,Skilled employee,1,"Yes, registered",Yes,Good
No checking account,12,Critical account,Radio/TV,1655,< 100 DM,>= 7 years,2,Male single,None,4,Real estate,63,None,Own,2,Unskilled-resident,1,"Yes, registered",Yes,Good
< 0 DM,24,Existing credits paid back,Car (used),2812,Unknown/No savings,>= 7 years,2,Female div/sep/married,None,4,Real estate,26,None,Rent,1,Skilled employee,1,None,Yes,Good
< 0 DM,36,Critical account,Education,8065,< 100 DM,1 <= ... < 4 years,3,Female div/sep/married,None,2,Unknown/No property,25,None,Own,2,Management/self-employed,1,"Yes, registered",Yes,Bad
No checking account,21,Critical account,Car (used),3275,< 100 DM,>= 7 years,1,Male single,None,4,Car/other,36,None,Own,1,Management/self-employed,1,"Yes, registered",Yes,Good
No checking account,24,Critical account,Radio/TV,2223,100 <= ... < 500 DM,>= 7 years,4,Male single,None,4,Savings/Life insurance,52,Bank,Own,2,Skilled employee,1,None,Yes,Good
>= 200 DM/salary assigned,12,Critical account,Car (new),1480,500 <= ... < 1000 DM,Unemployed,2,Male single,None,4,Unknown/No property,66,Bank,For free,3,Unemployed/non-resident,1,None,Yes,Good
< 0 DM,24,Existing credits paid back,Car (new),1371,Unknown/No savings,1 <= ... < 4 years,4,Female div/sep/married,None,4,Real estate,25,None,Rent,1,Skilled employee,1,None,Yes,Bad
No checking account,36,Critical account,Car (new),3535,< 100 DM,4 <= ... < 7 years,4,Male single,None,4,Car/other,37,None,Own,2,Skilled employee,1,"Yes, registered",Yes,Good
< 0 DM,18,Existing credits paid back,Radio/TV,3509,< 100 DM,4 <= ... < 7 years,4,Female div/sep/married,Guarantor,1,Real estate,25,None,Own,1,Skilled employee,1,None,Yes,Good
No checking account,36,Critical account,Car (used),5711,>= 1000 DM,>= 7 years,4,Male single,None,2,Car/other,38,None,Own,2,Management/self-employed,1,"Yes, registered",Yes,Good
0 <= ... < 200 DM,18,Existing credits paid back,Repairs,3872,< 100 DM,Unemployed,2,Female div/sep/married,None,4,Car/other,67,None,Own,1,Skilled employee,1,"Yes, registered",Yes,Good
0 <= ... < 200 DM,39,Critical account,Radio/TV,4933,< 100 DM,4 <= ... < 7 years,2,Male single,Guarantor,2,Real estate,25,None,Own,2,Skilled employee,1,None,Yes,Bad
No checking account,24,Critical account,Car (new),1940,>= 1000 DM,>= 7 years,4,Male single,None,4,Real estate,60,None,Own,1,Skilled employee,1,"Yes, registered",Yes,Good
0 <= ... < 200 DM,12,No credits/all paid,Retraining,1410,< 100 DM,1 <= ... < 4 years,2,Male single,None,2,Real estate,31,None,Own,1,Unskilled-resident,1,"Yes, registered",Yes,Good
0 <= ... < 200 DM,12,Existing credits paid back,Car (new),836,100 <= ... < 500 DM,< 1 year,4,Female div/sep/married,None,2,Savings/Life insurance,23,Bank,Own,1,Unskilled-resident,1,None,Yes,Bad
0 <= ... < 200 DM,20,Existing credits paid back,Car (used),6468,Unknown/No savings,Unemployed,1,Male divorced/separated,None,4,Real estate,60,None,Own,1,Management/self-employed,1,"Yes, registered",Yes,Good
0 <= ... < 200 DM,18,Existing credits paid back,Business,1941,>= 1000 DM,1 <= ... < 4 years,4,Male single,None,2,Savings/Life insurance,35,None,Own,1,Unskilled-resident,1,"Yes, registered",Yes,Good
No checking account,22,Existing credits paid back,Radio/TV,2675,500 <= ... < 1000 DM,>= 7 years,3,Male single,None,4,Car/other,40,None,Own,1,Skilled employee,1,None,Yes,Good
No checking account,48,Critical account,Car (used),2751,Unknown/No savings,>= 7 years,4,Male single,None,3,Car/other,38,None,Own,2,Skilled employee,2,"Yes, registered",Yes,Good
0 <= ... < 200 DM,48,Delayed payments,Education,6224,< 100 DM,>= 7 years,4,Male single,None,4,Unknown/No property,50,None,For free,1,Skilled employee,1,None,Yes,Bad
< 0 DM,40,Critical account,Education,5998,< 100 DM,1 <= ... < 4 years,4,Male single,None,3,Unknown/No property,27,Bank,Own,1,Skilled employee,1,"Yes, registered",Yes,Bad
0 <= ... < 200 DM,21,Existing credits paid back,Business,1188,< 100 DM,>= 7 years,2,Female div/sep/married,None,4,Savings/Life insurance,39,None,Own,1,Skilled employee,2,None,Yes,Bad
No checking account,24,Existing credits paid back,Car (used),6313,Unknown/No savings,>= 7 years,3,Male single,None,4,Car/other,41,None,Own,1,Management/self-employed,2,"Yes, registered",Yes,Good
No checking account,6,Critical account,Furniture/equipment,1221,Unknown/No savings,1 <= ... < 4 years,1,Male married/widowed,None,2,Savings/Life insurance,27,None,Own,2,Skilled employee,1,None,Yes,Good
>= 200 DM/salary assigned,24,Existing credits paid back,Furniture/equipment,2892,< 100 DM,>= 7 years,3,Male divorced/separated,None,4,Unknown/No property,51,None,For free,1,Skilled employee,1,None,Yes,Good
No checking account,24,Existing credits paid back,Furniture/equipment,3062,500 <= ... < 1000 DM,>= 7 years,4,Male single,None,3,Unknown/No property,32,None,Rent,1,Skilled employee,1,"Yes, registered",Yes,Good
No checking account,9,Existing credits paid back,Furniture/equipment,2301,100 <= ... < 500 DM,< 1 year,2,Female div/sep/married,None,4,Savings/Life insurance,22,None,Rent,1,Skilled employee,1,None,Yes,Good
< 0 DM,18,Existing credits paid back,Car (used),7511,Unknown/No savings,>= 7 years,1,Male single,None,4,Savings/Life insurance,51,None,For free,1,Skilled employee,2,"Yes, registered",Yes,Bad
No checking account,12,Critical account,Furniture/equipment,1258,< 100 DM,< 1 year,2,Female div/sep/married,None,4,Savings/Life insurance,22,None,Rent,2,Unskilled-resident,1,None,Yes,Good
No checking account,24,Delayed payments,Car (new),717,Unknown/No savings,>= 7 years,4,Male married/widowed,None,4,Car/other,54,None,Own,2,Skilled employee,1,"Yes, registered",Yes,Good
0 <= ... < 200 DM,9,Existing credits paid back,Car (new),1549,Unknown/No savings,< 1 year,4,Male single,None,2,Real estate,35,None,Own,1,Unemployed/non-resident,1,None,Yes,Good
No checking account,24,Critical account,Education,1597,< 100 DM,>= 7 years,4,Male single,None,4,Unknown/No property,54,None,For free,2,Skilled employee,2,None,Yes,Good
0 <= ... < 200 DM,18,Critical account,Radio/TV,1795,< 100 DM,>= 7 years,3,Female div/sep/married,Guarantor,4,Real estate,48,Bank,Rent,2,Unskilled-resident,1,"Yes, registered",Yes,Good
< 0 DM,20,Critical account,Furniture/equipment,4272,< 100 DM,>= 7 years,1,Female div/sep/married,None,4,Savings/Life insurance,24,None,Own,2,Skilled employee,1,None,Yes,Good
No checking account,12,Critical account,Radio/TV,976,Unknown/No savings,>= 7 years,4,Male single,None,4,Car/other,35,None,Own,2,Skilled employee,1,None,Yes,Good
0 <= ... < 200 DM,12,Existing credits paid back,Car (new),7472,Unknown/No savings,Unemployed,1,Female div/sep/married,None,2,Real estate,24,None,Rent,1,Unemployed/non-resident,1,None,Yes,Good
< 0 DM,36,Existing credits paid back,Car (new),9271,< 100 DM,4 <= ... < 7 years,2,Male single,None,1,Car/other,24,None,Own,1,Skilled employee,1,"Yes, registered",Yes,Bad
0 <= ... < 200 DM,6,Existing credits paid back,Radio/TV,590,< 100 DM,< 1 year,3,Male married/widowed,None,3,Real estate,26,None,Own,1,Unskilled-resident,1,None,No,Good
No checking account,12,Critical account,Radio/TV,930,Unknown/No savings,>= 7 years,4,Male single,None,4,Real estate,65,None,Own,4,Skilled employee,1,None,Yes,Good
0 <= ... < 200 DM,42,All credits paid back,Car (used),9283,< 100 DM,Unemployed,1,Male single,None,2,Unknown/No property,55,Bank,For free,1,Management/self-employed,1,"Yes, registered",Yes,Good
0 <= ... < 200 DM,15,No credits/all paid,Car (new),1778,< 100 DM,< 1 year,2,Female div/sep/married,None,1,Real estate,26,None,Rent,2,Unemployed/non-resident,1,None,Yes,Bad
0 <= ... < 200 DM,8,Existing credits paid back,Business,907,< 100 DM,< 1 year,3,Male married/widowed,None,2,Real estate,26,None,Own,1,Skilled employee,1,"Yes, registered",Yes,Good
0 <= ... < 200 DM,6,Existing credits paid back,Radio/TV,484,< 100 DM,4 <= ... < 7 years,3,Male married/widowed,Guarantor,3,Real estate,28,Bank,Own,1,Unskilled-resident,1,None,Yes,Good
< 0 DM,36,Critical account,Car (used),9629,< 100 DM,4 <= ... < 7 years,4,Male single,None,4,Car/other,24,None,Own,2,Skilled employee,1,"Yes, registered",Yes,Bad
< 0 DM,48,Existing credits paid back,Domestic appliances,3051,< 100 DM,1 <= ... < 4 years,3,Male single,None,4,Car/other,54,None,Own,1,Skilled employee,1,None,Yes,Bad
< 0 DM,48,Existing credits paid back,Car (new),3931,< 100 DM,4 <= ... < 7 years,4,Male single,None,4,Unknown/No property,46,None,For free,1,Skilled employee,2,None,Yes,Bad
0 <= ... < 200 DM,36,Delayed payments,Car (new),7432,< 100 DM,1 <= ... < 4 years,2,Female div/sep/married,None,2,Savings/Life insurance,54,None,Rent,1,Skilled employee,1,None,Yes,Good
No checking account,6,Existing credits paid back,Domestic appliances,1338,500 <= ... < 1000 DM,1 <= ... < 4 years,1,Male divorced/separated,None,4,Real estate,62,None,Own,1,Skilled employee,1,None,Yes,Good
No checking account,6,Critical account,Radio/TV,1554,< 100 DM,4 <= ... < 7 years,1,Female div/sep/married,None,2,Car/other,24,None,Rent,2,Skilled employee,1,"Yes, registered",Yes,Good
< 0 DM,36,Existing credits paid back,Other,15857,< 100 DM,Unemployed,2,Male divorced/separated,Co-applicant,3,Car/other,43,None,Own,1,Management/self-employed,1,None,Yes,Good
< 0 DM,18,Existing credits paid back,Radio/TV,1345,< 100 DM,1 <= ... < 4 years,4,Male married/widowed,None,3,Real estate,26,Bank,Own,1,Skilled employee,1,None,Yes,Bad
No checking account,12,Existing credits paid back,Car (new),1101,< 100 DM,1 <= ... < 4 years,3,Male married/widowed,None,2,Real estate,27,None,Own,2,Skilled employee,1,"Yes, registered",Yes,Good
>= 200 DM/salary assigned,12,Existing credits paid back,Radio/TV,3016,< 100 DM,1 <= ... < 4 years,3,Male married/widowed,None,1,Car/other,24,None,Own,1,Skilled employee,1,None,Yes,Good
< 0 DM,36,Existing credits paid back,Furniture/equipment,2712,< 100 DM,>= 7 years,2,Male single,None,2,Savings/Life insurance,41,Bank,Own,1,Skilled employee,2,None,Yes,Bad
< 0 DM,8,Critical account,Car (new),731,< 100 DM,>= 7 years,4,Male single,None,4,Real estate,47,None,Own,2,Unskilled-resident,1,None,Yes,Good
No checking account,18,Critical account,Furniture/equipment,3780,< 100 DM,< 1 year,3,Male divorced/separated,None,2,Car/other,35,None,Own,2,Management/self-employed,1,"Yes, registered",Yes,Good
< 0 DM,21,Critical account,Car (new),1602,< 100 DM,>= 7 years,4,Male married/widowed,None,3,Car/other,30,None,Own,2,Skilled employee,1,"Yes, registered",Yes,Good
< 0 DM,18,Critical account,Car (new),3966,< 100 DM,>= 7 years,1,Female div/sep/married,None,4,Real estate,33,Bank,Rent,3,Skilled employee,1,"Yes, registered",Yes,Bad
No checking account,18,No credits/all paid,Business,4165,< 100 DM,1 <= ... < 4 years,2,Male single,None,2,Car/other,36,Stores,Own,2,Skilled employee,2,None,Yes,Bad
< 0 DM,36,Existing credits paid back,Car (used),8335,Unknown/No savings,>= 7 years,3,Male single,None,4,Unknown/No property,47,None,For free,1,Skilled employee,1,None,Yes,Bad
0 <= ... < 200 DM,48,Delayed payments,Business,6681,Unknown/No savings,1 <= ... < 4 years,4,Male single,None,4,Unknown/No property,38,None,For free,1,Skilled employee,2,"Yes, registered",Yes,Good
No checking account,24,Delayed payments,Business,2375,500 <= ... < 1000 DM,1 <= ... < 4 years,4,Male single,None,2,Car/other,44,None,Own,2,Skilled employee,2,"Yes, registered",Yes,Good
< 0 DM,18,Existing credits paid back,Car (new),1216,< 100 DM,< 1 year,4,Female div/sep/married,None,3,Car/other,23,None,Rent,1,Skilled employee,1,"Yes, registered",Yes,Bad
< 0 DM,45,No credits/all paid,Business,11816,< 100 DM,>= 7 years,2,Male single,None,4,Car/other,29,None,Rent,2,Skilled employee,1,None,Yes,Bad
0 <= ... < 200 DM,24,Existing credits paid back,Radio/TV,5084,Unknown/No savings,>= 7 years,2,Female div/sep/married,None,4,Car/other,42,None,Own,1,Skilled employee,1,"Yes, registered",Yes,Good
>= 200 DM/salary assigned,15,Existing credits paid back,Radio/TV,2327,< 100 DM,< 1 year,2,Female div/sep/married,None,3,Real estate,25,None,Own,1,Unskilled-resident,1,None,Yes,Bad
< 0 DM,12,No credits/all paid,Car (new),1082,< 100 DM,1 <= ... < 4 years,4,Male single,None,4,Car/other,48,Bank,Own,2,Skilled employee,1,None,Yes,Bad
No checking account,12,Existing credits paid back,Radio/TV,886,Unknown/No savings,1 <= ... < 4 years,4,Female div/sep/married,None,2,Car/other,21,None,Own,1,Skilled employee,1,None,Yes,Good
No checking account,4,Existing credits paid back,Furniture/equipment,601,< 100 DM,< 1 year,1,Female div/sep/married,None,3,Real estate,23,None,Rent,1,Unskilled-resident,2,None,Yes,Good
< 0 DM,24,Critical account,Car (used),2957,< 100 DM,>= 7 years,4,Male single,None,4,Savings/Life insurance,63,None,Own,2,Skilled employee,1,"Yes, registered",Yes,Good
No checking account,24,Critical account,Radio/TV,2611,< 100 DM,>= 7 years,4,Male married/widowed,Co-applicant,3,Real estate,46,None,Own,2,Skilled employee,1,None,Yes,Good
< 0 DM,36,Existing credits paid back,Furniture/equipment,5179,< 100 DM,4 <= ... < 7 years,4,Male single,None,2,Savings/Life insurance,29,None,Own,1,Skilled employee,1,None,Yes,Bad
No checking account,21,Delayed payments,Car (used),2993,< 100 DM,1 <= ... < 4 years,3,Male single,None,2,Real estate,28,Stores,Own,2,Unskilled-resident,1,None,Yes,Good
No checking account,18,Existing credits paid back,Repairs,1943,< 100 DM,< 1 year,4,Female div/sep/married,None,4,Real estate,23,None,Own,1,Skilled employee,1,None,Yes,Bad
No checking account,24,All credits paid back,Business,1559,< 100 DM,4 <= ... < 7 years,4,Male single,None,4,Car/other,50,Bank,Own,1,Skilled employee,1,"Yes, registered",Yes,Good
No checking account,18,Existing credits paid back,Furniture/equipment,3422,< 100 DM,>= 7 years,4,Male single,None,4,Savings/Life insurance,47,Bank,Own,3,Skilled employee,2,"Yes, registered",Yes,Good
0 <= ... < 200 DM,21,Existing credits paid back,Furniture/equipment,3976,Unknown/No savings,4 <= ... < 7 years,2,Male single,None,3,Car/other,35,None,Own,1,Skilled employee,1,"Yes, registered",Yes,Good
No checking account,18,Existing credits paid back,Car (new),6761,Unknown/No savings,1 <= ... < 4 years,2,Male single,None,4,Car/other,68,None,Rent,2,Skilled employee,1,None,Yes,Bad
No checking account,24,Existing credits paid back,Car (new),1249,< 100 DM,< 1 year,4,Male married/widowed,None,2,Real estate,28,None,Own,1,Skilled employee,1,None,Yes,Good
< 0 DM,9,Existing credits paid back,Radio/TV,1364,< 100 DM,4 <= ... < 7 years,3,Male single,None,4,Real estate,59,None,Own,1,Skilled employee,1,None,Yes,Good
< 0 DM,12,Existing credits paid back,Radio/TV,709,< 100 DM,>= 7 years,4,Male single,None,4,Real estate,57,Stores,Own,1,Unskilled-resident,1,None,Yes,Bad
< 0 DM,20,Critical account,Car (new),2235,< 100 DM,1 <= ... < 4 years,4,Male married/widowed,Guarantor,2,Savings/Life insurance,33,Bank,Rent,2,Skilled employee,1,None,No,Bad
No checking account,24,Critical account,Car (used),4042,Unknown/No savings,4 <= ... < 7 years,3,Male single,None,4,Savings/Life insurance,43,None,Own,2,Skilled employee,1,"Yes, registered",Yes,Good
No checking account,15,Critical account,Radio/TV,1471,< 100 DM,1 <= ... < 4 years,4,Male single,None,4,Unknown/No property,35,None,For free,2,Skilled employee,1,"Yes, registered",Yes,Good
< 0 DM,18,All credits paid back,Car (new),1442,< 100 DM,4 <= ... < 7 years,4,Male single,None,4,Unknown/No property,32,None,For free,2,Unskilled-resident,2,None,Yes,Bad
No checking account,36,Delayed payments,Car (new),10875,< 100 DM,>= 7 years,2,Male single,None,2,Car/other,45,None,Own,2,Skilled employee,2,"Yes, registered",Yes,Good
No checking account,24,Existing credits paid back,Car (new),1474,100 <= ... < 500 DM,< 1 year,4,Male married/widowed,None,3,Real estate,33,None,Own,1,Skilled employee,1,"Yes, registered",Yes,Good
No checking account,10,Existing credits paid back,Retraining,894,Unknown/No savings,4 <= ... < 7 years,4,Female div/sep/married,None,3,Savings/Life insurance,40,None,Own,1,Skilled employee,1,"Yes, registered",Yes,Good
No checking account,15,Critical account,Furniture/equipment,3343,< 100 DM,1 <= ... < 4 years,4,Male single,None,2,Unknown/No property,28,None,For free,1,Skilled employee,1,"Yes, registered",Yes,Good
< 0 DM,15,Existing credits paid back,Car (new),3959,< 100 DM,1 <= ... < 4 years,3,Female div/sep/married,None,2,Savings/Life insurance,29,None,Own,1,Skilled employee,1,"Yes, registered",Yes,Bad
No checking account,9,Existing credits paid back,Car (new),3577,100 <= ... < 500 DM,1 <= ... < 4 years,1,Male single,Guarantor,2,Real estate,26,None,Rent,1,Skilled employee,2,None,No,Good
No checking account,24,Critical account,Car (used),5804,>= 1000 DM,1 <= ... < 4 years,4,Male single,None,2,Real estate,27,None,Own,2,Skilled employee,1,None,Yes,Good
No checking account,18,Delayed payments,Business,2169,< 100 DM,1 <= ... < 4 years,4,Male married/widowed,None,2,Car/other,28,None,Own,1,Skilled employee,1,"Yes, registered",Yes,Bad
< 0 DM,24,Existing credits paid back,Radio/TV,2439,< 100 DM,< 1 year,4,Female div/sep/married,None,4,Real estate,35,None,Own,1,Skilled employee,1,"Yes, registered",Yes,Bad
No checking account,27,Critical account,Furniture/equipment,4526,>= 1000 DM,< 1 year,4,Male single,None,2,Real estate,32,Stores,Own,2,Unskilled-resident,2,"Yes, registered",Yes,Good
No checking account,10,Existing credits paid back,Furniture/equipment,2210,< 100 DM,1 <= ... < 4 years,2,Male single,None,2,Real estate,25,Bank,Rent,1,Unskilled-resident,1,None,Yes,Bad
No checking account,15,Existing credits paid back,Furniture/equipment,2221,500 <= ... < 1000 DM,1 <= ... < 4 years,2,Female div/sep/married,None,4,Car/other,20,None,Rent,1,Skilled employee,1,None,Yes,Good
< 0 DM,18,Existing credits paid back,Radio/TV,2389,< 100 DM,< 1 year,4,Female div/sep/married,None,1,Car/other,27,Stores,Own,1,Skilled employee,1,None,Yes,Good
No checking account,12,Critical account,Furniture/equipment,3331,< 100 DM,>= 7 years,2,Male single,None,4,Savings/Life insurance,42,Stores,Own,1,Skilled employee,1,None,Yes,Good
No checking account,36,Existing credits paid back,Business,7409,Unknown/No savings,>= 7 years,3,Male single,None,2,Savings/Life insurance,37,None,Own,2,Skilled employee,1,None,Yes,Good
< 0 DM,12,Existing credits paid back,Furniture/equipment,652,< 100 DM,>= 7 years,4,Female div/sep/married,None,4,Savings/Life insurance,24,None,Rent,1,Skilled employee,1,None,Yes,Good
No checking account,36,Delayed payments,Furniture/equipment,7678,500 <= ... < 1000 DM,4 <= ... < 7 years,2,Female div/sep/married,None,4,Car/other,40,None,Own,2,Skilled employee,1,"Yes, registered",Yes,Good
>= 200 DM/salary assigned,6,Critical account,Car (new),1343,< 100 DM,>= 7 years,1,Male single,None,4,Real estate,46,None,Own,2,Skilled employee,2,None,No,Good
< 0 DM,24,Critical account,Business,1382,100 <= ... < 500 DM,4 <= ... < 7 years,4,Male single,None,1,Real estate,26,None,Own,2,Skilled employee,1,"Yes, registered",Yes,Good
No checking account,15,Existing credits paid back,Domestic appliances,874,Unknown/No savings,< 1 year,4,Female div/sep/married,None,1,Real estate,24,None,Own,1,Skilled employee,1,None,Yes,Good
< 0 DM,12,Existing credits paid back,Furniture/equipment,3590,< 100 DM,1 <= ... < 4 years,2,Male single,Co-applicant,2,Savings/Life insurance,29,None,Own,1,Unskilled-resident,2,None,Yes,Good
0 <= ... < 200 DM,11,Critical account,Car (new),1322,>= 1000 DM,1 <= ... < 4 years,4,Female div/sep/married,None,4,Car/other,40,None,Own,2,Skilled employee,1,None,Yes,Good
< 0 DM,18,All credits paid back,Radio/TV,1940,< 100 DM,< 1 year,3,Male single,Co-applicant,4,Unknown/No property,36,Bank,For free,1,Management/self-employed,1,"Yes, registered",Yes,Good
No checking account,36,Existing credits paid back,Radio/TV,3595,< 100 DM,>= 7 years,4,Male single,None,2,Car/other,28,None,Own,1,Skilled employee,1,None,Yes,Good
< 0 DM,9,Existing credits paid back,Car (new),1422,< 100 DM,< 1 year,3,Male single,None,2,Unknown/No property,27,None,For free,1,Management/self-employed,1,"Yes, registered",Yes,Bad
No checking account,30,Critical account,Radio/TV,6742,Unknown/No savings,4 <= ... < 7 years,2,Male single,None,3,Savings/Life insurance,36,None,Own,2,Skilled employee,1,None,Yes,Good
No checking account,24,Existing credits paid back,Car (used),7814,< 100 DM,4 <= ... < 7 years,3,Male single,None,3,Car/other,38,None,Own,1,Management/self-employed,1,"Yes, registered",Yes,Good
No checking account,24,Existing credits paid back,Car (used),9277,Unknown/No savings,1 <= ... < 4 years,2,Male divorced/separated,None,4,Unknown/No property,48,None,For free,1,Skilled employee,1,"Yes, registered",Yes,Good
0 <= ... < 200 DM,30,Critical account,Car (new),2181,Unknown/No savings,>= 7 years,4,Male single,None,4,Real estate,36,None,Own,2,Skilled employee,1,None,Yes,Good
No checking account,18,Critical account,Radio/TV,1098,< 100 DM,Unemployed,4,Female div/sep/married,None,4,Car/other,65,None,Own,2,Unemployed/non-resident,1,None,Yes,Good
0 <= ... < 200 DM,24,Existing credits paid back,Furniture/equipment,4057,< 100 DM,4 <= ... < 7 years,3,Male divorced/separated,None,3,Car/other,43,None,Own,1,Skilled employee,1,"Yes, registered",Yes,Bad
< 0 DM,12,Existing credits paid back,Education,795,< 100 DM,< 1 year,4,Female div/sep/married,None,4,Savings/Life insurance,53,None,Own,1,Skilled employee,1,None,Yes,Bad
0 <= ... < 200 DM,24,Critical account,Business,2825,Unknown/No savings,4 <= ... < 7 years,4,Male single,None,3,Unknown/No property,34,None,Own,2,Skilled employee,2,"Yes, registered",Yes,Good
0 <= ... < 200 DM,48,Existing credits paid back,Business,15672,< 100 DM,1 <= ... < 4 years,2,Male single,None,2,Car/other,23,None,Own,1,Skilled employee,1,"Yes, registered",Yes,Bad
No checking account,36,Critical account,Car (new),6614,< 100 DM,>= 7 years,4,Male single,None,4,Car/other,34,None,Own,2,Management/self-employed,1,"Yes, registered",Yes,Good
No checking account,28,All credits paid back,Car (used),7824,Unknown/No savings,< 1 year,3,Male single,Guarantor,4,Real estate,40,Bank,Rent,2,Skilled employee,2,"Yes, registered",Yes,Good
< 0 DM,27,Critical account,Business,2442,< 100 DM,>= 7 years,4,Male single,None,4,Car/other,43,Stores,Own,4,Management/self-employed,2,"Yes, registered",Yes,Good
No checking account,15,Critical account,Radio/TV,1829,< 100 DM,>= 7 years,4,Male single,None,4,Car/other,46,None,Own,2,Skilled employee,1,"Yes, registered",Yes,Good
< 0 DM,12,Critical account,Car (new),2171,< 100 DM,1 <= ... < 4 years,4,Male single,None,4,Savings/Life insurance,38,Bank,Own,2,Unskilled-resident,1,None,No,Good
0 <= ... < 200 DM,36,Critical account,Car (used),5800,< 100 DM,1 <= ... < 4 years,3,Male single,None,4,Car/other,34,None,Own,2,Skilled employee,1,"Yes, registered",Yes,Good
No checking account,18,Critical account,Radio/TV,1169,Unknown/No savings,1 <= ... < 4 years,4,Male single,None,3,Savings/Life insurance,29,None,Own,2,Skilled employee,1,"Yes, registered",Yes,Good
No checking account,36,Delayed payments,Car (used),8947,Unknown/No savings,4 <= ... < 7 years,3,Male single,None,2,Car/other,31,Stores,Own,1,Management/self-employed,2,"Yes, registered",Yes,Good
< 0 DM,21,Existing credits paid back,Radio/TV,2606,< 100 DM,< 1 year,4,Female div/sep/married,None,4,Savings/Life insurance,28,None,Rent,1,Management/self-employed,1,"Yes, registered",Yes,Good
No checking account,12,Critical account,Furniture/equipment,1592,>= 1000 DM,4 <= ... < 7 years,3,Female div/sep/married,None,2,Savings/Life insurance,35,None,Own,1,Skilled employee,1,None,No,Good
